epoch,binary_crossentropy,dice_coe,loss,val_binary_crossentropy,val_dice_coe,val_loss
0,0.9891971349716187,0.23746919631958008,-0.2374691665172577,0.6689366102218628,0.20979171991348267,-0.20979170501232147
1,1.1407885551452637,0.3836946189403534,-0.3836946189403534,1.8241240978240967,0.353269100189209,-0.353269100189209
2,1.0667803287506104,0.5295060873031616,-0.5295060873031616,25.700979232788086,0.31137847900390625,-0.31137850880622864
3,0.9732377529144287,0.6330427527427673,-0.6330427527427673,131.354736328125,0.2757053077220917,-0.2757052779197693
4,0.8467212915420532,0.6830227971076965,-0.6830227971076965,142.6389923095703,0.2750990688800812,-0.2750990688800812
5,0.7095157504081726,0.704401969909668,-0.7044020295143127,173.00750732421875,0.28425705432891846,-0.28425702452659607
6,0.7592989802360535,0.7321781516075134,-0.7321780920028687,92.68272399902344,0.3094373941421509,-0.3094373941421509
7,0.6731216311454773,0.742776095867157,-0.7427760362625122,56.4471435546875,0.36272159218788147,-0.36272162199020386
8,0.5967710018157959,0.764848530292511,-0.7648484706878662,42.10718536376953,0.38162460923194885,-0.38162460923194885
9,0.5312051177024841,0.7800528407096863,-0.780052900314331,8.268106460571289,0.5536820292472839,-0.5536820292472839
